HUD frame time nsec:,33181000

Range Index,Elapsed Time, First Event,Last Event
0,7232,4,4
1,16000,43,43
2,736,96,96
3,704,152,152
4,704,208,208
5,672,264,264
6,704,320,320
7,704,376,376
8,704,432,432
9,672,488,488
10,704,544,544
11,672,600,600
12,736,656,656
13,6720,667,667
14,44896,708,708
15,704,735,735
16,672,762,762
17,704,789,789
18,704,816,816
19,704,843,843
20,5952,850,850
21,44960,891,891
22,704,918,918
23,704,945,945
24,704,972,972
25,704,999,999
26,704,1026,1026
27,128800,1125,1125
28,1600,1152,1152
29,704,1179,1179
30,704,1206,1206
31,704,1233,1233
32,704,1260,1260
33,6464,1292,1292
34,4448,1321,1321
35,4640,1350,1350
36,4736,1379,1379
37,4480,1408,1408
38,4480,1437,1437
39,4512,1466,1466
40,4416,1495,1495
41,4384,1524,1524
42,4480,1553,1553
43,4416,1582,1582
44,4352,1611,1611
45,4416,1640,1640
46,4192,1669,1669
47,4288,1698,1698
48,4448,1727,1727
49,4416,1756,1756
50,4352,1785,1785
51,4384,1814,1814
52,4352,1843,1843
53,4384,1872,1872
54,4352,1901,1901
55,4448,1930,1930
56,4384,1959,1959
57,4256,1988,1988
58,4416,2017,2017
59,4256,2046,2046
60,4352,2075,2075
61,4416,2104,2104
62,4384,2133,2133
63,4320,2162,2162
64,4512,2191,2191
65,4320,2220,2220
66,4352,2249,2249
67,4320,2278,2278
68,4256,2307,2307
69,4224,2336,2336
70,4512,2365,2365
71,4384,2394,2394
72,4352,2423,2423
73,4064,2452,2452
74,4416,2481,2481
75,6560,2510,2510
76,6496,2539,2539
77,6144,2568,2568
78,4448,2597,2597
79,4160,2626,2626
80,4576,2655,2655
81,4352,2684,2684
82,4256,2713,2713
83,4224,2742,2742
84,4352,2771,2771
85,4320,2800,2800
86,4352,2829,2829
87,4352,2858,2858
88,4288,2887,2887
89,4192,2916,2916
90,4576,2945,2945
91,4384,2974,2974
92,4096,3003,3003
93,4320,3032,3032
94,4384,3061,3061
95,6752,3090,3090
96,6688,3119,3119
97,6528,3148,3148
98,6176,3177,3177
99,5984,3206,3206
100,4640,3235,3235
101,4224,3264,3264
102,4480,3293,3293
103,4512,3322,3322
104,4224,3351,3351
105,4320,3380,3380
106,4320,3409,3409
107,4288,3438,3438
108,4544,3467,3467
109,4704,3496,3496
110,4352,3525,3525
111,4448,3554,3554
112,1491264,3583,3583
113,4192,3612,3612
114,4192,3641,3641
115,4480,3670,3670
116,6336,3699,3699
117,6080,3728,3728
118,6272,3757,3757
119,6016,3786,3786
120,6144,3815,3815
121,6048,3844,3844
122,4960,3873,3873
123,4320,3902,3902
124,4320,3931,3931
125,4864,3960,3960
126,4288,3989,3989
127,4352,4018,4018
128,4448,4047,4047
129,4192,4076,4076
130,4288,4105,4105
131,4480,4134,4134
132,4448,4163,4163
133,4384,4192,4192
134,4384,4221,4221
135,4544,4250,4250
136,6144,4279,4279
137,6112,4308,4308
138,6144,4337,4337
139,6336,4366,4366
140,6432,4395,4395
141,6272,4424,4424
142,6176,4453,4453
143,6048,4482,4482
144,4928,4511,4511
145,4832,4540,4540
146,4864,4569,4569
147,4512,4598,4598
148,4576,4627,4627
149,4448,4656,4656
150,4288,4685,4685
151,4352,4714,4714
152,4224,4743,4743
153,4576,4772,4772
154,4768,4801,4801
155,4320,4830,4830
156,4416,4859,4859
157,5984,4888,4888
158,6112,4917,4917
159,6368,4946,4946
160,6208,4975,4975
161,5920,5004,5004
162,6176,5033,5033
163,6112,5062,5062
164,6336,5091,5091
165,6016,5120,5120
166,5984,5149,5149
167,4736,5178,5178
168,5056,5207,5207
169,4736,5236,5236
170,4768,5265,5265
171,4352,5294,5294
172,4288,5323,5323
173,4320,5352,5352
174,4320,5381,5381
175,4416,5410,5410
176,4608,5439,5439
177,4736,5468,5468
178,6144,5497,5497
179,6240,5526,5526
180,6080,5555,5555
181,6048,5584,5584
182,6240,5613,5613
183,6240,5642,5642
184,6176,5671,5671
185,6080,5700,5700
186,6176,5729,5729
187,6144,5758,5758
188,6400,5787,5787
189,4640,5816,5816
