HUD frame time nsec:,16591000

Range Index,Elapsed Time, First Event,Last Event
0,9024,3,3
1,24160,42,42
2,704,95,95
3,800,151,151
4,704,207,207
5,672,263,263
6,704,319,319
7,704,375,375
8,704,431,431
9,736,487,487
10,704,543,543
11,704,599,599
12,672,655,655
13,14080,666,666
14,203680,707,707
15,704,734,734
16,12800,741,741
17,207264,782,782
18,736,809,809
19,80800,907,907
20,672,934,934
21,6560,966,966
22,4544,995,995
23,4864,1024,1024
24,4576,1053,1053
25,4704,1082,1082
26,4448,1111,1111
27,4448,1140,1140
28,4512,1169,1169
29,4736,1198,1198
30,4352,1227,1227
31,4416,1256,1256
32,4512,1285,1285
33,4320,1314,1314
34,4608,1343,1343
35,4288,1372,1372
36,6880,1401,1401
37,6432,1430,1430
38,6432,1459,1459
39,6368,1488,1488
40,6464,1517,1517
41,4448,1546,1546
42,4448,1575,1575
43,4448,1604,1604
44,4288,1633,1633
45,4512,1662,1662
46,4512,1691,1691
47,4384,1720,1720
48,4672,1749,1749
49,4448,1778,1778
50,4608,1807,1807
51,4320,1836,1836
52,5024,1865,1865
53,4800,1894,1894
54,4352,1923,1923
55,6304,1952,1952
56,6240,1981,1981
57,6368,2010,2010
58,6112,2039,2039
59,6144,2068,2068
60,6304,2097,2097
61,4256,2126,2126
62,4480,2155,2155
63,4480,2184,2184
64,4416,2213,2213
65,4640,2242,2242
66,4704,2271,2271
67,4320,2300,2300
68,4480,2329,2329
69,4448,2358,2358
70,4544,2387,2387
71,4384,2416,2416
72,4352,2445,2445
73,4384,2474,2474
74,4576,2503,2503
75,6432,2532,2532
76,6560,2561,2561
77,6208,2590,2590
78,6560,2619,2619
79,6272,2648,2648
80,6176,2677,2677
81,4256,2706,2706
82,4480,2735,2735
83,4640,2764,2764
84,4384,2793,2793
85,4320,2822,2822
86,4256,2851,2851
87,4416,2880,2880
88,4448,2909,2909
89,4576,2938,2938
90,4320,2967,2967
91,4416,2996,2996
92,4320,3025,3025
93,4608,3054,3054
94,6144,3083,3083
95,6528,3112,3112
96,6272,3141,3141
97,6816,3170,3170
98,6624,3199,3199
99,6464,3228,3228
100,6368,3257,3257
101,4288,3286,3286
102,4576,3315,3315
103,4448,3344,3344
104,4576,3373,3373
105,4480,3402,3402
106,4288,3431,3431
107,4352,3460,3460
108,4480,3489,3489
109,4448,3518,3518
110,4320,3547,3547
111,4608,3576,3576
112,4480,3605,3605
113,4480,3634,3634
114,4480,3663,3663
115,6464,3692,3692
116,6240,3721,3721
117,6432,3750,3750
118,6432,3779,3779
119,6304,3808,3808
120,6176,3837,3837
121,4256,3866,3866
122,1124896,3895,3895
123,4480,3924,3924
124,4512,3953,3953
125,4384,3982,3982
126,4544,4011,4011
127,4544,4040,4040
128,4672,4069,4069
129,4448,4098,4098
130,4832,4127,4127
131,4480,4156,4156
132,4288,4185,4185
133,4544,4214,4214
134,4352,4243,4243
135,6176,4272,4272
136,6400,4301,4301
137,6464,4330,4330
138,6272,4359,4359
139,6368,4388,4388
140,6272,4417,4417
141,4320,4446,4446
142,4512,4475,4475
143,4576,4504,4504
144,4640,4533,4533
145,4608,4562,4562
146,4288,4591,4591
147,4256,4620,4620
148,4480,4649,4649
149,4416,4678,4678
150,4416,4707,4707
151,4416,4736,4736
152,4128,4765,4765
153,4352,4794,4794
154,4288,4823,4823
155,6528,4852,4852
156,6304,4881,4881
157,6688,4910,4910
158,6432,4939,4939
159,6496,4968,4968
160,6240,4997,4997
161,4544,5026,5026
162,4480,5055,5055
163,4480,5084,5084
164,4608,5113,5113
165,4288,5142,5142
166,4320,5171,5171
167,4416,5200,5200
168,4320,5229,5229
169,4608,5258,5258
170,4384,5287,5287
171,4320,5316,5316
172,4224,5345,5345
173,4576,5374,5374
174,4512,5403,5403
175,6592,5432,5432
176,6944,5461,5461
177,6464,5490,5490
178,6336,5519,5519
179,6240,5548,5548
180,6240,5577,5577
181,4288,5606,5606
182,4448,5635,5635
183,4384,5664,5664
184,4480,5693,5693
185,4384,5722,5722
186,4256,5751,5751
187,4512,5780,5780
188,4416,5809,5809
189,4224,5838,5838
190,4544,5867,5867
191,4416,5896,5896
192,4416,5925,5925
193,4256,5954,5954
194,4416,5983,5983
195,4512,6012,6012
196,6368,6041,6041
197,5984,6070,6070
198,4928,6099,6099
199,5888,6128,6128
200,4672,6157,6157
201,4480,6186,6186
202,4512,6215,6215
203,4416,6244,6244
204,4576,6273,6273
205,4512,6302,6302
206,4320,6331,6331
207,4416,6360,6360
208,4608,6389,6389
209,4352,6418,6418
210,4256,6447,6447
211,4192,6476,6476
212,4256,6505,6505
213,4320,6534,6534
214,4448,6563,6563
215,4128,6592,6592
216,4512,6621,6621
217,4128,6650,6650
218,4608,6679,6679
219,4608,6708,6708
220,4352,6737,6737
221,4416,6766,6766
222,4288,6795,6795
223,4608,6824,6824
224,4672,6853,6853
225,4448,6882,6882
226,4544,6911,6911
227,4224,6940,6940
228,4448,6969,6969
229,4448,6998,6998
230,4416,7027,7027
231,4704,7056,7056
232,4384,7085,7085
233,4384,7114,7114
234,4256,7143,7143
235,4352,7172,7172
236,4448,7201,7201
237,4352,7230,7230
238,4320,7259,7259
239,4320,7288,7288
240,4352,7317,7317
241,4544,7346,7346
242,4224,7375,7375
243,4384,7404,7404
244,4320,7433,7433
245,4320,7462,7462
246,4704,7491,7491
247,4576,7520,7520
248,986304,7549,7549
249,4480,7578,7578
